date,sunset,season,year,week,radar,sunset_timestamp,closest_file
2007-03-01,2007-03-02 04:02:53,spring,2007,9,KRIW,1172808173,KRIW20070302_040020.gz
2007-03-02,2007-03-03 04:04:08,spring,2007,9,KRIW,1172894648,KRIW20070303_040135.gz
2007-03-03,2007-03-04 04:05:23,spring,2007,9,KRIW,1172981123,KRIW20070304_040336.gz
2007-03-04,2007-03-05 04:06:37,spring,2007,9,KRIW,1173067597,KRIW20070305_040500.gz
2007-03-05,2007-03-06 04:07:51,spring,2007,10,KRIW,1173154071,KRIW20070306_040303.gz
2007-03-06,2007-03-07 04:09:05,spring,2007,10,KRIW,1173240545,KRIW20070307_040409.gz
2007-03-07,2007-03-08 04:10:19,spring,2007,10,KRIW,1173327019,KRIW20070308_041252.gz
2007-03-08,2007-03-09 04:11:33,spring,2007,10,KRIW,1173413493,KRIW20070309_041503.gz
2007-03-09,2007-03-10 04:12:46,spring,2007,10,KRIW,1173499966,KRIW20070310_041642.gz
2007-03-10,2007-03-11 04:13:59,spring,2007,10,KRIW,1173586439,KRIW20070311_041609.gz
2007-03-11,2007-03-12 04:15:11,spring,2007,10,KRIW,1173672911,KRIW20070312_041233.gz
2007-03-12,2007-03-13 04:16:24,spring,2007,11,KRIW,1173759384,KRIW20070313_041459.gz
2007-03-13,2007-03-14 04:17:36,spring,2007,11,KRIW,1173845856,KRIW20070314_041254.gz
2007-03-14,2007-03-15 04:18:48,spring,2007,11,KRIW,1173932328,KRIW20070315_042111.gz
2007-03-15,2007-03-16 04:20:00,spring,2007,11,KRIW,1174018800,KRIW20070316_041820.gz
2007-03-16,2007-03-17 04:21:11,spring,2007,11,KRIW,1174105271,KRIW20070317_042246.gz
2007-03-17,2007-03-18 04:22:23,spring,2007,11,KRIW,1174191743,KRIW20070318_042221.gz
2007-03-18,2007-03-19 04:23:34,spring,2007,11,KRIW,1174278214,KRIW20070319_042349.gz
2007-03-19,2007-03-20 04:24:45,spring,2007,12,KRIW,1174364685,KRIW20070320_042609.gz
